speciesnumber,animal,shortname
1,D. affinis,daff
3,D. americana,dame
4,D. ananassae,dana
5,D. arizonae,dari
7,D. bifasciata,dbif
8,D. buzzatii,dbuz
10,D. erecta,dere
11,D. euronotus,deur
12,D. flavomontana,dfla
13,D. hydei,dhyd
14,D. immigrans,dimm
15,D. lacicola,dlac
16,D. littoralis,dlit
17,D. lummei,dlum
18,D. mauritiana,dmau
19,D. melanogaster,dmel
20,D. micromelanica,dmic
22,D. mojavensis,dmoj
23,D. montana,dmon
24,D. nasuta,dnas
26,D. novamexicana,dnov
27,D. obscura,dobs
29,D. paramelanica,dpara
30,D. persimilis,dper
31,D. prosaltans,dpro
33,D. pseudoobscura,dpse
35,D. santomea,dsan
36,D. sechellia,dsec
37,D. simulans,dsim
38,D. sturtevanti,sstu
39,D. subobscura,dsub
40,D. sucinea,dsuc
41,D. takahashii,dtak
42,D. teisseri,dtei
45,D. virilis,dvir
46,D. yakuba,dyak
47,H. duncani,hdun
51,S. lativittata,slat
52,S. lebanonensis,sleb
53,S. pattersoni,spat
54,Z. davidi,zdav
55,Z. inermis,zine
56,Z. taronus,ztar
57,Z. tuberculatus,ztub
58,D. saltans,dsal
59,D. baimaii,dbai
60,D. miranda,dmir
61,D. nebulosa,dneb
62,D. putrida,dput
63,D. tropicalis,dtro
64,D. suzukii,dsuz
gD001,D. innubila,dinnu
gD002,D. busckii,dbus
MH105,D. testacea,dtes
MH106,D. testacea,dtes
MH107,D. phalerata,dpha
MH108,D. guttifera,dgut
MH109,D. funebris,dfun
MH110,D. suzukii,dsuzk-awa
MH111,D. willistoni,dwil
MH112,S. pallida,spal
SP01,D. tenebrosa,dten
SP02,D. munda,dmun
SP03,D. neotestacea,dneo
SP04,D. falleni,dfal
SP05,D. testacea,dtes
SP06,D. testacea,dtes
SP07,D. testacea,dtes
SP08,D. testacea,dtes
SP09,D. testacea,dtes
SP10,D. testacea,dtes
SP11,D. testacea,dtes
SP12,D. subquinaria,dsubq
,,
,,
,,
KY01,D. orientacea,dori
KY02,D. nigromaculata,dnig
KY03,D. deflecta,ddef
KY04,D. angularis,dang
KY05,D. bizonata,dbiz
KY06,D. brachynephros,dbra
KY07,D. orientacea,dori
KY08,D. multispina,dmult
KY09,D. sulfurigaster,dsulf
